neighborhood,pop_2000,pop_2001,pop_2002,pop_2003,pop_2004,pop_2005,pop_2006,pop_2007,pop_2008,pop_2009,pop_2010,pop_2011,pop_2012,pop_2013,pop_2014,pop_2015,pop_2016,pop_2017,pop_2018,pop_2019,pop_2020
Namugongo Division,49946.04155540466,53604.47863173485,56753.71587514877,62901.26602244377,67773.09801340103,72288.92382359505,75817.76816987991,80877.24047899246,85373.2270655632,87572.55719900131,92382.60708808899,97127.40641927719,103679.42613983154,107503.68143177032,112501.21253108978,119154.78598833084,128491.48656749725,135649.59915685654,141546.42136144638,152715.10834503174,159106.01064300537
Nansana Division,69563.1963186264,73196.06309461594,77315.80283689499,81917.88171863556,87099.4197807312,92408.50168323517,98179.22207450867,104484.75023365021,110713.01461029053,117741.52634334564,124990.62835788727,132454.29384613037,140623.01390361786,149607.36623954773,159171.68523597717,169185.73753356934,180152.820022583,191530.28313827515,204029.57562828064,217235.22548103333,231152.28461647034
Ndejje Division,45728.542575895786,48217.97897899151,51780.39354032278,56427.9035782814,60514.71290695667,64140.70955145359,68632.71634280682,73831.28855907917,78624.54487073421,83897.35735726357,87509.91174459457,95815.8539801836,102236.92432558537,106500.29888319969,114500.37025880814,122651.38176560402,131845.87291169167,138426.77677297592,146760.16971993446,157924.84287190437,166899.79554581642
Njeru Division,59446.16695189476,60649.49660587311,61942.9206700325,63165.65448665619,64415.72927856445,65776.81533956528,67087.1888320446,68589.41482162476,69964.81176352501,71379.35375094414,72697.1768913269,74333.4987912178,75960.80471920967,77613.74481225014,79066.73789191246,81133.08207058907,82765.87081289291,84366.13461327553,86127.57442212105,87872.91468858719,89745.58750915527
Nkokonjeru Town Council,6210.197539806366,6476.835828125477,6629.426169872284,6759.569209456444,6895.524339079857,7125.731427907944,7286.426237285137,7406.290266215801,7548.285207271576,7717.584807038307,7846.949837446213,8046.2639627456665,8268.826289176941,8407.203875899315,8542.414561510086,8719.730079174042,8900.713408231735,9063.596173286438,9256.384016156197,9439.343615293503,9638.782633066177
Ntenjeru,28595.81564170122,29398.230529874563,30218.189320772886,31148.90666076541,31927.880094259977,32856.16494515538,33801.62431824207,34792.050166904926,35784.5177552104,36830.11955475807,37830.33853763342,38901.54994997382,40019.49343931675,41246.85142767429,42428.5340295434,43687.46399652958,44956.18392175436,46257.590348780155,47600.49348139763,48952.83925628662,50424.61150372028
Ntunda,9964.387638926506,10797.699298858643,11127.432018116117,11462.68225544691,11792.237382605672,12120.549915105104,12455.419142112136,12768.672379031777,13132.065963208675,13521.842121601105,13934.140270650387,14291.05906972289,14727.465079635382,15135.024008184671,15650.44666031003,16090.571357548237,16596.656401604414,17075.201991140842,17554.059183955193,18077.212263137102,18571.862675070763
Nyenga Division,37425.86890101433,38669.11196279526,39515.540842950344,40451.95334368944,41382.83048570156,42252.534044623375,43044.71523106098,43908.96685421467,44793.060353696346,45941.58277052641,46976.9137802124,47894.10263925791,48851.010814130306,49584.39839220047,50724.69680273533,51476.1004204154,52586.85520672798,53748.70152115822,54872.893678188324,56053.09092414379,57266.69984805584
Nyimbwa,27871.738336145878,28852.722074508667,29569.349304676056,30284.634983956814,30799.471340477467,31530.710860192776,32356.914728343487,33085.21748203039,33863.358859837055,34679.638364613056,35849.277214348316,36643.05429840088,37462.26051950455,38439.36919951439,39402.96904486418,40399.98401117325,41394.01948702335,42529.507333517075,43661.82767659426,44667.44752931595,45861.12405586243
Rubaga Division,279777.5982837677,286654.78992938995,292378.0079164505,297721.8295440674,303952.08078861237,310565.7197961807,316195.4311208725,321937.26951122284,328348.7216491699,334743.2204236984,342323.22628593445,349061.67179107666,356468.25235939026,363335.16725444794,370322.48589134216,378202.916847229,386045.56875133514,393396.31784439087,401649.19358444214,409654.6149482727,417924.0455532074
Semuto,16174.29554182291,16860.2892434299,17369.933707356453,17911.33908265829,18374.75984042883,18991.18656373024,19586.641464054585,20161.159674793482,20688.435948193073,21331.721873939037,21908.73535311222,22616.635263442993,23434.224776148796,24015.662295520306,24814.330625772476,25522.57771205902,26275.846579790115,27127.64927971363,27945.422606945038,28824.15946650505,29762.437257528305
Semuto Town Council,6564.725568115711,6746.657474994659,6953.36300688982,7194.678333938122,7476.999800443649,7637.042445361614,7881.496067762375,8131.659100472927,8487.464561522007,8714.303413510323,9061.056348085403,9298.294196784496,9471.485122978687,9900.19907015562,10287.150525093079,10629.222550868988,10969.385770618916,11251.774831593037,11618.359171330929,11947.365391790867,12338.66140705347
Wakisi Division,29721.771872714162,30903.559179902077,31520.136681362987,32183.147760018706,32838.036774620414,33496.736980095506,34199.1282659322,34876.76662008464,35735.428036391735,36412.73372294009,37221.77918256819,37893.65954294801,38653.74226462841,39606.782869651914,40574.68841251731,41302.94278907776,42187.078181028366,43072.91630578041,43972.68848478794,44948.147034943104,45836.49890193343
Wakiso,73945.6517777443,78958.81668442488,84066.66919392347,89871.23333746195,95757.2340271473,102017.96052777767,109022.57781374454,116698.76260435581,124217.47474968433,132473.71671795845,141185.20961725712,150745.14989960194,160721.5557229519,171072.65311050415,182534.7254679203,194665.6993188858,207861.87483894825,221703.938798666,235808.4980764389,251914.57071781158,268458.5159163475
Wakiso Town Council,22576.644550144672,24042.42907691002,25606.898727178574,27314.061208486557,29320.54392004013,31222.85165154934,33351.215235352516,35464.2868295908,37796.177743792534,40402.38097512722,43143.61243498325,45959.09296011925,49123.01691138744,52723.958755493164,56208.36029839516,59844.596287965775,63774.35985779762,68093.88251256943,72618.58766031265,77322.98347449303,82517.7510547638
